cve_id,vendor_project,product,vulnerability_name,date_added,short_description,required_action,due_date,pub_date,cvss,cwe,vector,complexity,severity,cloud_component,vulnerability_category
CVE-2020-0041,android,Android OS,"Android ""AbstractEmu"" Root Access Vulnerabilities",03-11-2021,,Apply updates per vendor instructions.,03-05-2022,10-03-2020,7.8,CWE-787,LOCAL,LOW,HIGH,Management and Governance,IAM
CVE-2020-0069,android,Android OS,"Android ""AbstractEmu"" Root Access Vulnerabilities",03-11-2021,,Apply updates per vendor instructions.,03-05-2022,10-03-2020,7.8,CWE-787,LOCAL,LOW,HIGH,Management and Governance,IAM
CVE-2017-9805,apache,Struts,Apache Struts Multiple Versions Remote Code Execution Vulnerability,03-11-2021,The REST Plugin in Apache Struts 2.1.1 through 2.3.x before 2.3.34 and 2.5.x before 2.5.13 contains a vulnerability which can lead to Remote Code Execution.,Apply updates per vendor instructions.,03-05-2022,15-09-2017,8.1,CWE-502,NETWORK,HIGH,HIGH,Management and Governance,Network
CVE-2021-42013,apache,HTTP Server,Apache HTTP Server 2.4.49 and 2.4.50 Path Traversal,03-11-2021,Apache HTTP server vulnerabilities allow an attacker to use a path traversal attack to map URLs to files outside the expected document root and perform Remote Code Execution.,Apply updates per vendor instructions.,17-11-2021,07-10-2021,9.8,CWE-22,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-41773,apache,HTTP Server,Apache HTTP Server Path Traversal Vulnerability,03-11-2021,"A flaw was found in a change made to path normalization in Apache HTTP Server 2.4.49. An attacker could use a path traversal attack to map URLs to files outside the directories configured by Alias-like directives. If files outside of these directories are not protected by the usual default configuration ""require all denied"", these requests can succeed. If CGI scripts are also enabled for these aliased pathes, this could allow for remote code execution. This issue is known to be exploited in the wild. This issue only affects Apache 2.4.49 and not earlier versions. The fix in Apache HTTP Server 2.4.50 was found to be incomplete, see CVE-2021-42013.",Apply updates per vendor instructions.,17-11-2021,05-10-2021,7.5,CWE-22,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2019-0211,apache,HTTP Server,Apache HTTP Server scoreboard vulnerability,03-11-2021,"In Apache HTTP Server 2.4 releases 2.4.17 to 2.4.38, with MPM event, worker or prefork, code executing in less-privileged child processes or threads (including scripts executed by an in-process scripting interpreter) could execute arbitrary code with the privileges of the parent process (usually root) by manipulating the scoreboard. Non-Unix systems are not affected.",Apply updates per vendor instructions.,03-05-2022,08-04-2019,7.8,CWE-416,LOCAL,LOW,HIGH,Management and Governance,Application
CVE-2016-4437,apache,Shiro,Apache Shiro 1.2.4 Cookie RememberME Deserial Remote Code Execution Vulnerability,03-11-2021,"Apache Shiro before 1.2.5, when a cipher key has not been configured for the ""remember me"" feature, allows remote attackers to execute arbitrary code or bypass intended access restrictions via an unspecified request parameter.",Apply updates per vendor instructions.,03-05-2022,07-06-2016,8.1,CWE-284,NETWORK,HIGH,HIGH,Management and Governance,Network
CVE-2019-17558,apache,Solr,Apache Solr 5.0.0-8.3.1 Remote Code Execution Vulnerability,03-11-2021,"Apache Solr 5.0.0 to Apache Solr 8.3.1 are vulnerable to a Remote Code Execution through the VelocityResponseWriter. A Velocity template can be provided through Velocity templates in a configset `velocity/` directory or as a parameter. A user defined configset could contain renderable, potentially malicious, templates. Parameter provided templates are disabled by default, but can be enabled by setting `params.resource.loader.enabled` by defining a response writer with that setting set to `true`. Defining a response writer requires configuration API access. Solr 8.4 removed the params resource loader entirely, and only enables the configset-provided template rendering when the configset is `trusted` (has been uploaded by an authenticated user).",Apply updates per vendor instructions.,03-05-2022,30-12-2019,7.5,CWE-74,NETWORK,HIGH,HIGH,Management and Governance,Network
CVE-2020-17530,apache,Struts,Apache Struts Forced OGNL Double Evaluation Remote Code Execution,03-11-2021,"Forced OGNL evaluation, when evaluated on raw user input in tag attributes, may lead to remote code execution. Affected software : Apache Struts 2.0.0 - Struts 2.5.25.",Apply updates per vendor instructions.,03-05-2022,11-12-2020,9.8,CWE-917,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2017-5638,apache,Struts,Apache Struts Jakarta Multipart parser exception handling vulnerability,03-11-2021,"The Jakarta Multipart parser in Apache Struts 2 2.3.x before 2.3.32 and 2.5.x before 2.5.10.1 has incorrect exception handling and error-message generation during file-upload attempts, which allows remote attackers to execute arbitrary commands via a crafted Content-Type, Content-Disposition, or Content-Length HTTP header, as exploited in the wild in March 2017 with a Content-Type header containing a #cmd= string.",Apply updates per vendor instructions.,03-05-2022,11-03-2017,10.0,CWE-20,NETWORK,LOW,CRITICAL,Management and Governance,Other
CVE-2018-11776,apache,Struts,Apache Struts 2.3 to 2.3.34 and 2.5 to 2.5.16 Remote Code Execution Vulnerability,03-11-2021,Apache Struts versions 2.3 to 2.3.34 and 2.5 to 2.5.16 contain a vulnerability which can allow for remote code execution.,Apply updates per vendor instructions.,03-05-2022,22-08-2018,8.1,CWE-20,NETWORK,HIGH,HIGH,Management and Governance,Network
CVE-2021-30858,apple,iOS and iPadOS,Apple Apple iOS and iPadOS Use-After-Free Vulnerability,03-11-2021,Apple iOS and iPadOS Arbitrary Code Execution,Apply updates per vendor instructions.,17-11-2021,24-08-2021,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2019-6223,apple,FaceTime,Apple FaceTime Vulnerability,03-11-2021,"A logic issue existed in the handling of Group FaceTime calls. The issue was addressed with improved state management. This issue is fixed in iOS 12.1.4, macOS Mojave 10.14.3 Supplemental Update. The initiator of a Group FaceTime call may be able to cause the recipient to answer.",Apply updates per vendor instructions.,03-05-2022,05-03-2019,7.5,NVD-CWE-noinfo,NETWORK,LOW,HIGH,Management and Governance,Other
CVE-2021-30860,apple,iOS,"Apple iOS ""FORCEDENTRY"" Remote Code Execution Vulnerability",03-11-2021,An integer overflow was addressed with improved input validation vulnerability affecting iOS devices that allows for remote code execution.,Apply updates per vendor instructions.,17-11-2021,24-08-2021,7.8,CWE-190,LOCAL,LOW,HIGH,Management and Governance,Network
CVE-2020-27930,apple,iOS and macOS,Apple iOS and macOS FontParser Remote Code Execution Vulnerability,03-11-2021,A memory corruption issue was addressed with improved input validation. Processing a maliciously crafted font may lead to arbitrary code execution.,Apply updates per vendor instructions.,03-05-2022,08-12-2020,7.8,CWE-787,LOCAL,LOW,HIGH,Management and Governance,Network
CVE-2021-30807,apple,iOS and macOS,Apple iOS and macOS Memory Corruption Vulnerability,03-11-2021,,Apply updates per vendor instructions.,17-11-2021,19-10-2021,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Other
CVE-2020-27950,apple,iOS and macOS,Apple iOS and macOS Kernel Memory Initialization Vulnerability,03-11-2021,A malicious application may be able to disclose kernel memory.,Apply updates per vendor instructions.,03-05-2022,08-12-2020,5.5,CWE-665,LOCAL,LOW,MEDIUM,Management and Governance,Application
CVE-2020-27932,apple,iOS and macOS,Apple iOS and macOS Kernel Type Confusion Vulnerability,03-11-2021,A malicious application may be able to execute arbitrary code with kernel privileges.,Apply updates per vendor instructions.,03-05-2022,08-12-2020,7.8,CWE-843,LOCAL,LOW,HIGH,Management and Governance,Application
CVE-2020-9818,apple,iOS Mail,Apple iOS Mail OOB Vulnerability,03-11-2021,Processing a maliciously crafted mail message may lead to unexpected memory modification or application termination.,Apply updates per vendor instructions.,03-05-2022,09-06-2020,8.8,CWE-787,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2020-9819,apple,iOS Mail,Apple iOS Mail Heap Overflow Vulnerability,03-11-2021,Processing a maliciously crafted mail message may lead to heap corruption.,Apply updates per vendor instructions.,03-05-2022,09-06-2020,4.3,CWE-787,NETWORK,LOW,MEDIUM,SaaS,Other
CVE-2021-30762,apple,iOS,Apple WebKit Browser Engine Use-After-Free Vulnerability,03-11-2021,Use after free issue. Processing maliciously crafted web content may lead to arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,17-11-2021,08-09-2021,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2021-1782,apple,iOS,Apple iOS Privilege Escalation and Code Execution Chain,03-11-2021,A malicious application may be able to elevate privileges. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,17-11-2021,02-04-2021,7.0,"CWE-362,CWE-269",LOCAL,HIGH,HIGH,Management and Governance,Application
CVE-2021-1870,apple,iOS,Apple iOS Privilege Escalation and Code Execution Chain,03-11-2021,A remote attacker may be able to cause arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,17-11-2021,02-04-2021,9.8,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2021-1871,apple,iOS,Apple iOS Privilege Escalation and Code Execution Chain,03-11-2021,A remote attacker may be able to cause arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,17-11-2021,02-04-2021,9.8,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2021-1879,apple,iOS,Apple iOS Webkit Browser Engine XSS,03-11-2021,Processing maliciously crafted web content may lead to universal cross site scripting. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,17-11-2021,02-04-2021,6.1,CWE-79,NETWORK,LOW,MEDIUM,Management and Governance,Application
CVE-2021-30661,apple,iOS,Apple iOS Webkit Storage Use-After-Free Remote Code Execution Vulnerability,03-11-2021,Processing maliciously crafted web content may lead to arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,17-11-2021,08-09-2021,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2021-30666,apple,iOS,Apple iOS12.x Buffer Overflow,03-11-2021,Processing maliciously crafted web content may lead to arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,17-11-2021,08-09-2021,8.8,CWE-120,NETWORK,LOW,HIGH,SaaS,Application
CVE-2021-30713,apple,macOS,Apple macOS Input Validation Error,03-11-2021,A malicious application may be able to bypass Privacy preferences. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,17-11-2021,08-09-2021,7.8,CWE-863,LOCAL,LOW,HIGH,Management and Governance,Network
CVE-2021-30657,apple,macOS,Apple macOS Policy Subsystem Gatekeeper Bypass,03-11-2021,A malicious application may bypass Gatekeeper checks. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,17-11-2021,08-09-2021,5.5,CWE-494,LOCAL,LOW,MEDIUM,Management and Governance,Network
CVE-2021-30665,apple,Safari,Apple Safari Webkit Browser Engine Buffer Overflow Vulnerability,03-11-2021,Processing maliciously crafted web content may lead to arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,17-11-2021,08-09-2021,8.8,CWE-787,NETWORK,LOW,HIGH,SaaS,Application
CVE-2021-30663,apple,Safari,Apple Safari Webkit Browser Engine Integer Overflow Vulnerability,03-11-2021,Integer overflow. Processing maliciously crafted web content may lead to arbitrary code execution.,Apply updates per vendor instructions.,17-11-2021,08-09-2021,8.8,CWE-190,NETWORK,LOW,HIGH,SaaS,Application
CVE-2021-30761,apple,iOS,Apple WebKit Browser Engine Memory Corruption Vulnerability,03-11-2021,Memory corruption issue. Processing maliciously crafted web content may lead to arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,17-11-2021,08-09-2021,8.8,CWE-787,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2021-30869,apple,"iOS, macOS, and iPadOS",Apple XNU Kernel Type Confusion,03-11-2021,Apple XNU kernel contains a type confusion vulnerability which allows a malicious application to execute arbitrary code with kernel privileges.,Apply updates per vendor instructions.,17-11-2021,24-08-2021,7.8,CWE-843,LOCAL,LOW,HIGH,Management and Governance,Application
CVE-2020-9859,apple,iOS and iPadOS,Apple 11-13.5 XNU Kernel Vulnerability,03-11-2021,A memory consumption issue was addressed with improved memory handling. An application may be able to execute arbitrary code with kernel privileges.,Apply updates per vendor instructions.,03-05-2022,05-06-2020,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Application
CVE-2021-20090,arcadyan,Buffalo WSR-2533DHPL2 and WSR-2533DHP3 firmware,Arcadyan Buffalo Firmware Multiple Versions Path Traversal,03-11-2021,A path traversal vulnerability in Arcadyan firmware could allow unauthenticated remote attackers to bypass authentication. It impacts many routers.,Apply updates per vendor instructions.,17-11-2021,29-04-2021,9.8,CWE-22,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-27562,arm,Arm Trusted Firmware,Arm Trusted Firmware M through 1.2 Denial-of-Service,03-11-2021,"In Arm Trusted Firmware M through 1.2, the NS world may trigger a system halt, an overwrite of secure data, or the printing out of secure data when calling secure functions under the NSPE handler mode. This vulnerability has known active exploitation against Yealink Device Management servers. It is assessed this product utilizes the affected Arm firmware.",Apply updates per vendor instructions.,17-11-2021,25-05-2021,5.5,CWE-787,LOCAL,LOW,MEDIUM,Management and Governance,Application
CVE-2021-28664,arm,Mali Graphics Processing Unit (GPU),Arm Mali GPU Kernel Boundary Error Vulnerability,03-11-2021,"The Arm Mali GPU kernel driver allows privilege escalation or a denial of service (memory corruption) because an unprivileged user can achieve read/write access to read-only pages. This affects Bifrost r0p0 through r28p0 before r29p0, Valhall r19p0 through r28p0 before r29p0, and Midgard r8p0 through r30p0.",Apply updates per vendor instructions.,17-11-2021,10-05-2021,8.8,CWE-787,NETWORK,LOW,HIGH,Management and Governance,Access Control
CVE-2021-28663,arm,Mali Graphics Processing Unit (GPU),Arm Mali GPU Kernel Use-After-Free Vulnerability,03-11-2021,"The Arm Mali GPU kernel driver allows privilege escalation or information disclosure because GPU memory operations are mishandled, leading to a use-after-free. This affects Bifrost r0p0 through r28p0 before r29p0, Valhall r19p0 through r28p0 before r29p0, and Midgard r4p0 through r30p0.",Apply updates per vendor instructions.,17-11-2021,10-05-2021,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2019-3398,atlassian,Confluence,Atlassian Confluence Path Traversal Vulnerability,03-11-2021,"Confluence Server and Data Center had a path traversal vulnerability in the downloadallattachments resource. A remote attacker who has permission to add attachments to pages and / or blogs or to create a new space or a personal space or who has 'Admin' permissions for a space can exploit this path traversal vulnerability to write files to arbitrary locations which can lead to remote code execution on systems that run a vulnerable version of Confluence Server or Data Center. All versions of Confluence Server from 2.0.0 before 6.6.13 (the fixed version for 6.6.x), from 6.7.0 before 6.12.4 (the fixed version for 6.12.x), from 6.13.0 before 6.13.4 (the fixed version for 6.13.x), from 6.14.0 before 6.14.3 (the fixed version for 6.14.x), and from 6.15.0 before 6.15.2 are affected by this vulnerability.",Apply updates per vendor instructions.,03-05-2022,18-04-2019,8.8,CWE-22,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2021-26084,atlassian,Confluence Server,"Atlassian Confluence Server < 6.13.23, 6.14.0 - 7.12.5 Arbitrary Code Execution",03-11-2021,"Atlassian Confluence Server The affected versions are before version 6.13.23, from version 6.14.0 before 7.4.11, from version 7.5.0 before 7.11.6, and from version 7.12.0 before 7.12.5 contains an OGNL injection vulnerability which allows an attacker to execute arbitrary code.",Apply updates per vendor instructions.,17-11-2021,30-08-2021,9.8,CWE-74,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2019-11580,atlassian,Crowd and Crowd Data Center,Atlassian Crowd and Crowd Data Center Remote Code Execution Vulnerability,03-11-2021,"Atlassian Crowd and Crowd Data Center had the pdkinstall development plugin incorrectly enabled in release builds. Attackers who can send unauthenticated or authenticated requests to a Crowd or Crowd Data Center instance can exploit this vulnerability to install arbitrary plugins, which permits remote code execution on systems running a vulnerable version of Crowd or Crowd Data Center. All versions of Crowd from version 2.1.0 before 3.0.5, from version 3.1.0 before 3.1.6, from version 3.2.0 before 3.2.8, from version 3.3.0 before 3.3.5, and from version 3.4.0 before 3.4.4 are affected by this vulnerability.",Apply updates per vendor instructions.,03-05-2022,03-06-2019,9.8,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2019-3396,atlassian,Atlassian Confluence Server,Remote code execution via Widget Connector macro Vulnerability,03-11-2021,Allows remote attackers to achieve path traversal and remote code execution on a Confluence Server or Data Center instance via server-side template injection.,Apply updates per vendor instructions.,03-05-2022,25-03-2019,9.8,CWE-22,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-42258,bqe,BillQuick Web Suite,BQE BillQuick Web Suite Versions Prior to 22.0.9.1 (from 2018 through 2021) Remote Code Execution Vulnerability,03-11-2021,"BQE BillQuick Web Suite 2018 through 2021 prior to 22.0.9.1 allows SQL injection for unauthenticated remote code execution, as exploited in the wild in October 2021 for ransomware installation.",Apply updates per vendor instructions.,17-11-2021,22-10-2021,9.8,CWE-89,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2020-3452,cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Cisco Adaptive Security Appliance and Cisco Fire Power Threat Defense directory traversal sensitive file read,03-11-2021,"A vulnerability in the web services interface of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to conduct directory traversal attacks and read sensitive files on a targeted system. The vulnerability is due to a lack of proper input validation of URLs in HTTP requests processed by an affected device. An attacker could exploit this vulnerability by sending a crafted HTTP request containing directory traversal character sequences to an affected device. A successful exploit could allow the attacker to view arbitrary files within the web services file system on the targeted device. The web services file system is enabled when the affected device is configured with either WebVPN or AnyConnect features. This vulnerability cannot be used to obtain access to ASA or FTD system files or underlying operating system (OS) files.",Apply updates per vendor instructions.,03-05-2022,22-07-2020,7.5,CWE-20,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2020-3580,cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Cisco ASA and FTD XSS Vulnerabilities,03-11-2021,"Multiple vulnerabilities in the web services interface of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to conduct cross-site scripting (XSS) attacks against a user of the web services interface of an affected device. The vulnerabilities are due to insufficient validation of user-supplied input by the web services interface of an affected device. An attacker could exploit these vulnerabilities by persuading a user of the interface to click a crafted link. A successful exploit could allow the attacker to execute arbitrary script code in the context of the interface or allow the attacker to access sensitive, browser-based information. Note: These vulnerabilities affect only specific AnyConnect and WebVPN configurations.",Apply updates per vendor instructions.,03-05-2022,21-10-2020,6.1,CWE-79,NETWORK,LOW,MEDIUM,Management and Governance,Application
CVE-2021-1497,cisco,HyperFlex HX,Cisco HyperFlex HX Command Injection Vulnerabilities,03-11-2021,"Multiple vulnerabilities in the web-based management interface of Cisco HyperFlex HX could allow an unauthenticated, remote attacker to perform command injection attacks against an affected device.",Apply updates per vendor instructions.,17-11-2021,06-05-2021,9.8,CWE-78,NETWORK,LOW,CRITICAL,IaaS,Network
CVE-2021-1498,cisco,HyperFlex HX,Cisco HyperFlex HX Command Injection Vulnerabilities,03-11-2021,"Multiple vulnerabilities in the web-based management interface of Cisco HyperFlex HX could allow an unauthenticated, remote attacker to perform command injection attacks against an affected device.",Apply updates per vendor instructions.,17-11-2021,06-05-2021,9.8,CWE-78,NETWORK,LOW,CRITICAL,IaaS,Network
CVE-2018-0171,cisco,IOS and IOS XE,Cisco IOS and IOS XE Software Smart Install Remote Code Execution Vulnerability,03-11-2021,"A vulnerability in the Smart Install feature of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to trigger a reload of an affected device, resulting in a denial of service (DoS) condition, or to execute arbitrary code on an affected device. The vulnerability is due to improper validation of packet data. An attacker could exploit this vulnerability by sending a crafted Smart Install message to an affected device on TCP port 4786. A successful exploit could allow the attacker to cause a buffer overflow on the affected device, which could have the following impacts: Triggering a reload of the device, Allowing the attacker to execute arbitrary code on the device, Causing an indefinite loop on the affected device that triggers a watchdog crash. Cisco Bug IDs: CSCvg76186.",Apply updates per vendor instructions.,03-05-2022,28-03-2018,9.8,CWE-787,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2020-3118,cisco,IOS XR,Cisco IOS XR Software Cisco Discovery Protocol Format String Vulnerability,03-11-2021,"A vulnerability in the Cisco Discovery Protocol implementation for Cisco IOS XR Software could allow an unauthenticated, adjacent attacker to execute arbitrary code or cause a reload on an affected device. The vulnerability is due to improper validation of string input from certain fields in Cisco Discovery Protocol messages. An attacker could exploit this vulnerability by sending a malicious Cisco Discovery Protocol packet to an affected device. A successful exploit could allow the attacker to cause a stack overflow, which could allow the attacker to execute arbitrary code with administrative privileges on an affected device. Cisco Discovery Protocol is a Layer 2 protocol. To exploit this vulnerability, an attacker must be in the same broadcast domain as the affected device (Layer 2 adjacent).",Apply updates per vendor instructions.,03-05-2022,05-02-2020,8.8,CWE-134,ADJACENT_NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2020-3566,cisco,IOS XR,Cisco IOS XR Software DVMRP Memory Exhaustion Vulnerability,03-11-2021,"A vulnerability in the Distance Vector Multicast Routing Protocol (DVMRP) feature of Cisco IOS XR Software could allow an unauthenticated, remote attacker to exhaust process memory of an affected device. The vulnerability is due to insufficient queue management for Internet Group Management Protocol (IGMP) packets. An attacker could exploit this vulnerability by sending crafted IGMP traffic to an affected device. A successful exploit could allow the attacker to cause memory exhaustion, resulting in instability of other processes. These processes may include, but are not limited to, interior and exterior routing protocols.",Apply updates per vendor instructions.,03-05-2022,29-08-2020,7.5,CWE-400,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2020-3569,cisco,IOS XR,Cisco IOS XR Software DVMRP Memory Exhaustion Vulnerability,03-11-2021,"Multiple vulnerabilities in the Distance Vector Multicast Routing Protocol (DVMRP) feature of Cisco IOS XR Software could allow an unauthenticated, remote attacker to either immediately crash the Internet Group Management Protocol (IGMP) process or make it consume available memory and eventually crash. The memory consumption may negatively impact other processes that are running on the device. These vulnerabilities are due to the incorrect handling of IGMP packets. An attacker could exploit these vulnerabilities by sending crafted IGMP traffic to an affected device. A successful exploit could allow the attacker to immediately crash the IGMP process or cause memory exhaustion, resulting in other processes becoming unstable. These processes may include, but are not limited to, interior and exterior routing protocols.",Apply updates per vendor instructions.,03-05-2022,23-09-2020,7.5,CWE-400,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2020-3161,cisco,IP Phones,Cisco IP Phones Web Server DoS and Remote Code Execution Vulnerability,03-11-2021,"A vulnerability in the web server for Cisco IP Phones could allow an unauthenticated, remote attacker to execute code with root privileges or cause a reload of an affected IP phone, resulting in a denial of service (DoS) condition. The vulnerability is due to a lack of proper input validation of HTTP requests. An attacker could exploit this vulnerability by sending a crafted HTTP request to the web server of a targeted device. A successful exploit could allow the attacker to remotely execute code with root privileges or cause a reload of an affected IP phone, resulting in a DoS condition.",Apply updates per vendor instructions.,03-05-2022,15-04-2020,9.8,CWE-20,NETWORK,LOW,CRITICAL,Management and Governance,Network
